"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID","dram_write_transactions"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,
33833.773384,0.003392,1,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>>(int, float, float)",5123,0
33841.939672,0.003263,1,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",5129,0
33850.292869,1.497643,1,2,3136,8,8,1,80,2.250000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void wgrad_alg0_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, int=512>(int, int, int, float const *, int, float*, float const *, kernel_grad_params, __int64, int, float, int, int, int, int)",5148,2072
33860.054655,0.003423,7,1,1,64,1,1,20,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float, float>, at::detail::Array<char*, int=3>>(int, float, float)",5156,0
33868.180527,0.003264,7,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","7","void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",5162,0
33876.193921,0.103070,8,1,1,640,1,1,96,41.101562,0.000000,,,,,"Tesla V100-DGXS-32GB (0)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclWorkElem)",5176,142202
33879.340725,0.003681,,,,,,,,,,0.003815,1.012032,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5217,
33879.380533,0.046751,,,,,,,,,,15.625000,326.384228,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5221,
33879.431188,0.003680,,,,,,,,,,0.015625,4.146410,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5229,
33879.446452,0.175230,,,,,,,,,,64.000000,356.674085,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5233,
33879.625618,0.003872,,,,,,,,,,0.015625,3.940803,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5241,
33879.632626,1.049297,,,,,,,,,,392.000000,364.827594,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5245,
33880.685859,0.003648,,,,,,,,,,0.001953,0.522848,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5253,
33880.693603,0.028064,,,,,,,,,,9.000000,313.179251,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5257,
33880.725602,0.003328,,,,,,,,,,0.001953,0.573122,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5261,
33880.732067,0.028447,,,,,,,,,,9.000000,308.962720,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5265,
33880.764450,0.003264,,,,,,,,,,0.001953,0.584359,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5269,
33880.771682,0.028064,,,,,,,,,,9.000000,313.179251,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5273,
33880.803682,0.003487,,,,,,,,,,0.001953,0.546988,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5281,
33880.810273,0.028448,,,,,,,,,,9.000000,308.951860,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5285,
33880.842657,0.003584,,,,,,,,,,0.001953,0.532184,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5289,
33880.850433,0.027968,,,,,,,,,,9.000000,314.254237,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5293,
33880.882305,0.003679,,,,,,,,,,0.001953,0.518442,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5297,
33880.889120,0.016032,,,,,,,,,,4.500000,274.109983,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5301,
33880.909408,0.003328,,,,,,,,,,0.000977,0.286561,"Device","Device","Tesla V100-DGXS-32GB (0)","1","7","[CUDA memcpy DtoD]",5305,
